	2 mm	4 mm	6 mm	8 mm	10 mm	12 mm	14 mm	16 mm	18 mm	20 mm	30 mm	40 mm
177	105.122132	82.464301	66.328325	53.721646	44.063621	38.686464	35.670687	33.93446	33.302802	32.437368	32.478824	30.975711
178	104.140411	82.842981	66.691811	54.039391	44.302952	38.859747	35.777748	33.993006	33.322453	32.45589	32.472609	30.973642
179	104.140411	82.842981	66.691811	54.039391	44.302952	38.859747	35.777748	33.993006	33.322453	32.45589	32.472609	30.973642
180	105.882634	83.2214	67.052259	54.344636	44.529677	39.019694	35.880821	34.04504	33.362145	32.473397	32.457823	30.960457
181	105.882634	83.2214	67.052259	54.344636	44.529677	39.019694	35.880821	34.04504	33.362145	32.473397	32.457823	30.960457
182	106.227772	83.587541	67.39831	54.661542	44.760175	39.180143	35.986356	34.106289	33.382803	32.479872	32.446204	30.956288
183	106.227772	83.587541	67.39831	54.661542	44.760175	39.180143	35.986356	34.106289	33.382803	32.479872	32.446204	30.956288
184	106.563392	83.976328	67.767547	54.977942	45.015925	39.373023	36.110522	34.186192	33.439768	32.507341	32.448708	30.950649
185	106.563392	83.976328	67.767547	54.977942	45.015925	39.373023	36.110522	34.186192	33.439768	32.507341	32.448708	30.950649
186	105.547428	84.354174	68.123858	55.286415	45.262426	39.547489	36.224264	34.253794	33.478971	32.543602	32.45176	30.960429
187	105.547428	84.354174	68.123858	55.286415	45.262426	39.547489	36.224264	34.253794	33.478971	32.543602	32.45176	30.960429
188	105.836233	84.700144	68.45666	55.577866	45.474712	39.696231	36.327292	34.304713	33.507214	32.552861	32.428954	30.94568
189	105.836233	84.700144	68.45666	55.577866	45.474712	39.696231	36.327292	34.304713	33.507214	32.552861	32.428954	30.94568
190	107.494462	85.068787	68.809105	55.889535	45.712734	39.869383	36.44054	34.361662	33.543196	32.578799	32.434053	30.943634
191	107.494462	85.068787	68.809105	55.889535	45.712734	39.869383	36.44054	34.361662	33.543196	32.578799	32.434053	30.943634
192	107.309609	85.430133	69.152441	56.192449	45.956689	40.04074	36.552271	34.450894	33.581787	32.618341	32.420233	30.933153
193	107.309609	85.430133	69.152441	56.192449	45.956689	40.04074	36.552271	34.450894	33.581787	32.618341	32.420233	30.933153
